object_type,object_name,column_name,data_type,nullable,default,description
view,v_student_performance_summary,profile_tags,jsonb,n/a,,"Profile tags"
view,v_class_performance_summary,class_id,bigint,n/a,,"Class id"
view,v_class_performance_summary,class_name,text,n/a,,"Class name"
view,v_class_performance_summary,main_teacher,text,n/a,,"Main teacher name"
view,v_class_performance_summary,advisor,text,n/a,,"Advisor name"
view,v_class_performance_summary,student_count,bigint,n/a,,"Student count"
view,v_class_performance_summary,total_homework_assigned,bigint,n/a,,"Assigned homework count"
view,v_class_performance_summary,avg_attendance_rate,numeric,n/a,,"Average attendance rate"
view,v_class_performance_summary,avg_participation_score,numeric,n/a,,"Average participation score"
view,v_class_performance_summary,avg_behavior_score,numeric,n/a,,"Average behavior score"
